time,P,Q,R,Phi,Theta,Psi,U,V,W,X,Y,Z,RPM1,RPM2,RPM3,RPM4,RPM5,RPM6,THR1,THR2,THR3,TJR4,THR5,THR6,Phi_cmd,Theta_cmd,Psi_cmd,Alt_cmd,X_cmd,Y_cmd,Ax,Ay,Az,Fault_M1,Fault_M2,Fault_M3,Fault_M4,Fault_M5,Fault_M6
0.4,-0.00025537543,-0.00035239736,-0.00085433519,1.91113e-05,-1.5657211e-07,-6.1170639e-06,-0.0003002013,0.0003599562,2.8826623,-5.6764839e-05,6.110846e-05,0.66303355,3287.7556,3287.9736,3287.9856,3288.136,3287.918,3287.906,28.685044,28.68775,28.687899,28.689765,28.687059,28.68691,0.0002925362,0.00026146573,0,3,0,0,-0.00088129012,-0.00080921702,11.492965,1,1,1,1,1,1
0.41,-0.0034908482,-0.0035798845,-0.0040738484,2.4991214e-05,4.7944289e-06,-6.137294e-06,-0.0003142812,0.00037478413,2.8968204,-5.9770505e-05,6.414525e-05,0.69193319,3253.6865,3254.787,3254.851,3255.5722,3254.4716,3254.4077,28.262266,28.275924,28.276717,28.285667,28.27201,28.271216,0.00028873657,0.00026049571,0,3,0,0,-0.0041023953,-0.0040255984,11.221735,1,1,1,1,1,1
0.42,-0.0022918076,-0.0023770135,-0.0028878465,3.0827225e-05,9.7646088e-06,-6.1584431e-06,-0.00032799621,0.00038898835,2.9084034,-6.2770875e-05,6.7154342e-05,0.72096143,3222.6544,3223.4258,3223.4687,3223.9777,3223.2063,3223.1634,27.877176,27.88675,27.887282,27.893598,27.884025,27.883493,0.00028800773,0.00026219568,0,3,0,0,-0.0028722959,-0.0028926594,10.965419,1,1,1,1,1,1
0.43,0.00055691908,0.0004705044,-8.7505738e-05,3.7005774e-05,1.5088091e-05,-6.1606546e-06,-0.00034228979,0.0004036648,2.91752,-6.5760642e-05,7.0129996e-05,0.75009308,3193.9388,3193.9355,3193.9299,3193.9391,3193.9424,3193.948,27.520833,27.520792,27.520722,27.520836,27.520878,27.520947,0.00029837869,0.00027351211,0,3,0,0,-3.4462396e-05,-0.00014188187,10.721569,1,1,1,1,1,1
0.44,0.0043816928,0.0042929383,0.0036809783,4.3767841e-05,2.0973271e-05,-6.1314163e-06,-0.00035771713,0.0004194607,2.9242807,-6.873438e-05,7.3066381e-05,0.77930402,3167.3152,3166.2723,3166.2028,3165.5408,3166.5837,3166.6532,27.19045,27.177508,27.176646,27.16843,27.181372,27.182234,0.00031556754,0.00029073806,0,3,0,0,0.0037306362,0.0036233067,10.489745,1,1,1,1,1,1
0.45,0.00057741993,0.00049046673,-0.00015033998,5.1005791e-05,2.732697e-05,-6.0759014e-06,-0.00037394617,0.00043599805,2.9287969,-7.1686341e-05,7.5957346e-05,0.80857124,3140.7058,3140.7099,3140.7009,3140.7168,3140.7126,3140.7217,26.860243,26.860294,26.860182,26.860379,26.860328,26.86044,0.00032919913,0.00030489288,0,3,0,0,-0.00015267617,-0.00015184807,10.261463,1,1,1,1,1,1
0.46,0.0036535885,0.0035718636,0.002922952,5.8362212e-05,3.3839853e-05,-6.0119838e-06,-0.00039003044,0.00045218936,2.9311797,-7.4610569e-05,7.8796543e-05,0.83787286,3117.4302,3116.5907,3116.5313,3116.0015,3116.841,3116.9004,26.571406,26.560988,26.560251,26.553676,26.564094,26.564831,0.00033182837,0.00030952796,0,3,0,0,0.0028973036,0.0029471869,10.051205,1,1,1,1,1,1
0.47,-0.000930225,-0.0010042372,-0.0016461605,6.5687488e-05,4.0382513e-05,-5.9469509e-06,-0.0004055692,0.00046757776,2.9315395,-7.7501156e-05,8.1577714e-05,0.86718811,3094.0148,3094.4275,3094.4416,3094.7218,3094.3092,3094.295,26.280836,26.285956,26.286132,26.289608,26.284488,26.284312,0.00032961361,0.00030997029,0,3,0,0,-0.0017026446,-0.0015855854,9.844322,1,1,1,1,1,1
0.48,0.00061633296,0.00055092931,-7.8434515e-05,7.2780991e-05,4.6781162e-05,-5.8907361e-06,-0.00042004662,0.00048157457,2.9299845,-8.0352413e-05,8.4294894e-05,0.89649728,3073.6094,3073.592,3073.5805,3073.5823,3073.5997,3073.6112,26.027616,26.0274,26.027257,26.02728,26.027496,26.027639,0.00032104623,0.00030490206,0,3,0,0,-0.00013092581,-2.1100542e-05,9.6544186,1,1,1,1,1,1
0.49,0.0011282818,0.0010701306,0.00044532315,7.9720732e-05,5.3103148e-05,-5.8390975e-06,-0.00043366051,0.0004944161,2.9266209,-8.3158954e-05,8.6942503e-05,0.92578177,3054.464,3054.3014,3054.2806,3054.1886,3054.3512,3054.372,25.790032,25.788015,25.787756,25.786615,25.788633,25.788891,0.00031444988,0.00030152132,0,3,0,0,0.00040115318,0.00049322975,9.4740857,1,1,1,1,1,1
0.5,-0.0045103652,-0.0045609322,-0.005178854,8.6530443e-05,5.9368657e-05,-5.7905889e-06,-0.00044646495,0.00050617347,2.9215523,-8.5915668e-05,8.9515302e-05,0.95502401,3035.3132,3036.6906,3036.7597,3037.6643,3036.2869,3036.2177,25.552383,25.569475,25.570333,25.581558,25.564466,25.563607,0.00030819392,0.00029840634,0,3,0,0,-0.0052276216,-0.0051252278,9.2979486,1,1,1,1,1,1
0.51,-0.0064979629,-0.0065444233,-0.0071762556,9.3268781e-05,6.5628026e-05,-5.7419967e-06,-0.00045860192,0.00051701988,2.9148788,-8.8617656e-05,9.2008334e-05,0.98420745,3018.3767,3020.296,3020.3949,3021.6511,3019.7317,3019.6328,25.34221,25.366028,25.367256,25.382844,25.359026,25.357798,0.00030335294,0.00029648015,0,3,0,0,-0.007181516,-0.007175332,9.1354758,1,1,1,1,1,1
0.52,0.0020203587,0.0019696713,0.0012734752,0.00010041326,7.2294383e-05,-5.6687154e-06,-0.00047124703,0.0005283221,2.9066977,-9.1260131e-05,9.4416793e-05,1.0133165,3005.1833,3004.7752,3004.7325,3004.4851,3004.8932,3004.9359,25.178488,25.173424,25.172894,25.169824,25.174888,25.175419,0.00031229847,0.00030645357,0,3,0,0,0.0013417084,0.0011802347,8.9931561,1,1,1,1,1,1
0.53,0.0003621158,0.00030486851,-0.00046999978,0.00010845508,7.9793063e-05,-5.5453411e-06,-0.00048555458,0.00054142128,2.8971026,-9.3838058e-05,9.6735615e-05,1.0423367,2990.8366,2990.8949,2990.8752,2990.9319,2990.8736,2990.8933,25.000454,25.001178,25.000933,25.001637,25.000913,25.001158,0.0003352019,0.00032848126,0,3,0,0,-0.00041085849,-0.00056397739,8.850004,1,1,1,1,1,1
0.54,0.0046073294,0.0045462142,0.0037086009,0.00011728368,8.8028769e-05,-5.3770515e-06,-0.00050114332,0.00055588407,2.8861835,-9.6345866e-05,9.8959139e-05,1.0712541,2979.0383,2977.9425,2977.8513,2977.163,2978.2588,2978.35,24.854044,24.840446,24.839314,24.830773,24.844371,24.845503,0.00035417754,0.00034708418,0,3,0,0,0.0037390282,0.0036386558,8.7217778,1,1,1,1,1,1
0.55,0.00075388004,0.00069311495,-0.00018221635,0.00012670119,9.6830999e-05,-5.1733814e-06,-0.00051743105,0.00057104389,2.8740267,-9.8777452e-05,0.00010108112,1.1000562,2966.4563,2966.4208,2966.3896,2966.3883,2966.4239,2966.4551,24.69791,24.697469,24.697081,24.697066,24.697507,24.697894,0.00036667801,0.00036006412,0,3,0,0,-0.00020519582,-0.00019634449,8.5941214,1,1,1,1,1,1
