time,P,Q,R,Phi,Theta,Psi,U,V,W,X,Y,Z,RPM1,RPM2,RPM3,RPM4,RPM5,RPM6,THR1,THR2,THR3,TJR4,THR5,THR6,Phi_cmd,Theta_cmd,Psi_cmd,Alt_cmd,X_cmd,Y_cmd,Ax,Ay,Az,Fault_M1,Fault_M2,Fault_M3,Fault_M4,Fault_M5,Fault_M6
0.4,-0.00025562327,0.035545006,-0.00085433803,1.9088446e-05,0.0051499969,-6.3129198e-06,-0.0079391044,0.00035991232,2.882651,0.00057952349,6.1106193e-05,0.6630331,3286.2371,3286.4551,3287.9923,3289.6679,3289.4499,3287.9127,28.6662,28.668906,28.687982,28.708775,28.70607,28.686994,0.00029231145,0.033354455,0,3,0.08,0,-0.00044591298,-0.0008092067,11.492989,1,1,1,1,1,1
0.41,-0.0034911085,0.03361683,-0.0040738512,2.4965754e-05,0.0055204295,-6.3251165e-06,-0.0084863753,0.00037473507,2.8968076,0.00065156008,6.4142745e-05,0.69193264,3252.189,3253.2896,3254.8588,3257.0853,3255.9847,3254.4155,28.243684,28.257341,28.276814,28.304444,28.290787,28.271313,0.00028850376,0.03421985,0,3,0.082,0,-0.003777879,-0.0040255891,11.221762,1,1,1,1,1,1
0.42,-0.0022920778,0.036104423,-0.0028878493,3.0799049e-05,0.0059038033,-6.3357411e-06,-0.0090390004,0.000388934,2.9083892,0.00072972176,6.7151589e-05,0.72096078,3221.182,3221.9534,3223.4778,3225.4683,3224.6968,3223.1725,27.858905,27.868478,27.887394,27.912095,27.902522,27.883606,0.00028776785,0.03506522,0,3,0.084,0,-0.0026645023,-0.0028926628,10.965449,1,1,1,1,1,1
0.43,0.00055664144,0.040219931,-8.7508485e-05,3.6974925e-05,0.0063002958,-6.3247347e-06,-0.0095955529,0.0004036053,2.9175042,0.00081428509,7.0126984e-05,0.75009231,3192.4957,3192.4923,3193.9403,3195.4032,3195.4065,3193.9585,27.502924,27.502883,27.520852,27.539005,27.539046,27.521077,0.00029813502,0.03589553,0,3,0.086,0,5.1280531e-05,-0.00014189697,10.721603,1,1,1,1,1,1
0.44,0.0043814077,0.045291495,0.0036809756,4.3734477e-05,0.0067099375,-6.2792424e-06,-0.010154115,0.00041939639,2.9242632,0.00090552812,7.3063102e-05,0.7793031,3165.9056,3164.8626,3166.2148,3166.9744,3168.0173,3166.6652,27.172957,27.160015,27.176795,27.186221,27.199163,27.182383,0.00031532289,0.036705164,0,3,0.088,0,0.0036895222,0.0036232904,10.489783,1,1,1,1,1,1
0.45,0.0005771243,0.042717171,-0.00015034264,5.0970046e-05,0.007132436,-6.2040501e-06,-0.010711787,0.00043592918,2.9287777,0.0010037308,7.595379e-05,0.80857016,3139.334,3139.3381,3140.7146,3142.1159,3142.1118,3140.7354,26.84322,26.843271,26.860352,26.877742,26.87769,26.86061,0.00032895379,0.037483305,0,3,0.09,0,-0.0003249457,-0.00015185127,10.261504,1,1,1,1,1,1
0.46,0.0036532803,0.047003615,0.0029229494,5.8324088e-05,0.0075672615,-6.1167445e-06,-0.011264976,0.00045211593,2.9311589,0.0011091752,7.8792701e-05,0.8378716,3116.1008,3115.2613,3116.5468,3117.362,3118.2015,3116.9159,26.554909,26.544491,26.560444,26.57056,26.580978,26.565024,0.00033158037,0.038221741,0,3,0.092,0,0.0025900723,0.0029471886,10.051251,1,1,1,1,1,1
0.47,-0.00093054694,0.043607335,-0.0016461631,6.5646932e-05,0.008014043,-6.024434e-06,-0.011810558,0.00046749971,2.931517,0.0012221457,8.1573578e-05,0.86718663,3092.7324,3093.145,3094.4592,3096.0395,3095.6269,3094.3126,26.264921,26.270041,26.28635,26.30596,26.30084,26.284531,0.00032936234,0.038924112,0,3,0.094,0,-0.0021481673,-0.0015855756,9.8443727,1,1,1,1,1,1
0.48,0.00061599749,0.046314968,-7.843706e-05,7.2737864e-05,0.0084723438,-5.9369588e-06,-0.012345232,0.0004814917,2.9299603,0.0013429287,8.4290457e-05,0.89649557,3072.3785,3072.3611,3073.6003,3074.853,3074.8704,3073.6311,26.012341,26.012125,26.027504,26.043048,26.043264,26.027885,0.00032079039,0.039587483,0,3,0.096,0,-0.00071760852,-2.1094244e-05,9.6544746,1,1,1,1,1,1
0.49,0.0011279345,0.047957137,0.00044532063,7.9674945e-05,0.008941947,-5.8500263e-06,-0.012866358,0.00049432832,2.9265952,0.0014718135,8.6937757e-05,0.9257798,3053.2893,3053.1267,3054.3029,3055.408,3055.5706,3054.3944,25.775455,25.773437,25.788033,25.801747,25.803764,25.789169,0.00031419067,0.040217508,0,3,0.098,0,-0.0003291125,0.00049323117,9.4741474,1,1,1,1,1,1
0.5,-0.004510724,0.043417389,-0.0051788565,8.6481929e-05,0.0094225671,-5.7621187e-06,-0.013371103,0.00050608076,2.9215251,0.0016090919,8.9510242e-05,0.95502175,3034.1994,3035.5768,3036.7847,3038.828,3037.4507,3036.2427,25.538561,25.555653,25.570644,25.596,25.578908,25.563918,0.00030793209,0.040811296,0,3,0.1,0,-0.0061034622,-0.0051252268,9.2980165,1,1,1,1,1,1
0.51,-0.0064983299,0.042491391,-0.0071762581,9.3217521e-05,0.009913927,-5.6699594e-06,-0.013856688,0.00051692232,2.9148503,0.0017550593,9.2002954e-05,0.98420486,3017.3285,3019.2479,3020.4228,3022.7551,3020.8357,3019.6607,25.329203,25.353021,25.367602,25.396544,25.372725,25.358145,0.00030308974,0.041368372,0,3,0.102,0,-0.008204507,-0.0071753497,9.1355507,1,1,1,1,1,1
0.52,0.0020199898,0.052026971,0.0012734727,0.00010035955,0.010416091,-5.5487622e-06,-0.014321338,0.00052822024,2.9066681,0.0019100147,9.4411087e-05,1.0133136,3004.2055,3003.7974,3004.7635,3005.525,3005.9331,3004.967,25.166354,25.16129,25.173279,25.182729,25.187793,25.175804,0.00031203996,0.04189812,0,3,0.104,0,0.00017039591,0.0011801859,8.9932388,1,1,1,1,1,1
0.53,0.00036174564,0.051345446,-0.00047000228,0.00010839955,0.010929113,-5.3726686e-06,-0.014763234,0.00054131614,2.8970721,0.0020742612,9.6729579e-05,1.0423333,2989.9338,2989.9922,2990.9097,2991.9036,2991.8453,2990.9277,24.989251,24.989975,25.001361,25.013695,25.012971,25.001585,0.00033495501,0.04239944,0,3,0.106,0,-0.0017312709,-0.00056402472,8.8500947,1,1,1,1,1,1
0.54,0.0046069546,0.056529647,0.0037085984,0.00011722695,0.011452504,-5.1462974e-06,-0.015179013,0.00055577652,2.8861524,0.0022481068,9.895277e-05,1.0712504,2978.2153,2977.1195,2977.8894,2978.0623,2979.1581,2978.3881,24.843831,24.830233,24.839788,24.841933,24.85553,24.845976,0.00035394301,0.042855672,0,3,0.108,0,0.002269119,0.0036386178,8.721877,1,1,1,1,1,1
0.55,0.00075349647,0.053576753,-0.00018221894,0.00012664378,0.011985679,-4.878706e-06,-0.0155651,0.00057093457,2.8739954,0.0024318647,0.00010107441,1.1000519,2965.7177,2965.6822,2966.4317,2967.2111,2967.2467,2966.4972,24.688744,24.688303,24.697603,24.707276,24.707717,24.698416,0.00036645547,0.043263508,0,3,0.11,0,-0.0018246272,-0.00019636196,8.5942297,1,1,1,1,1,1
0.56,-0.00028518878,0.053397544,-0.0012320257,0.00013628367,0.012527885,-4.587663e-06,-0.015917537,0.00058567477,2.8606839,0.0026258529,0.00010308791,1.128726,2954.934,2955.1816,2955.8611,2956.7398,2956.4922,2955.8127,24.554924,24.557997,24.566429,24.577333,24.57426,24.565828,0.00036764547,0.043617714,0,3,0.112,0,-0.0030511747,-0.0012173033,8.4776962,1,1,1,1,1,1
